sup_tot,sup_cub,ambientes,dormitorios,expensas,precio,precio_moneda,ubicación,lat,lon,fecha,href,inm_tipo
70.0,67.0,3.0,2.0,13500.0,65000,$,"Beruti 3427, Palermo",-34.586254,-58.410827600000005,2021-10-16T19:04:02.000Z,https://departamento.mercadolibre.com.ar/MLA-1108453380-dueno-alquila-hermoso-departamento-3-ambientes-en-palermo-_JM#position=28&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
43.0,43.0,2.0,1.0,2500.0,35000,$,"Alejandro Magariños Cervantes 3098, Villa del Parque",-34.614794,-58.482146900000004,2021-10-19T00:59:04.000Z,https://departamento.mercadolibre.com.ar/MLA-1108678542-departamento-dos-ambientes-en-alquiler-caba-_JM#position=29&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
40.0,40.0,2.0,1.0,,40000,$,"Río De Janeiro  800, Caballito",-34.6062448,-58.4307454,2021-10-19T16:52:49.000Z,https://departamento.mercadolibre.com.ar/MLA-1108736886-departamento-alquiler-2-amb-reciclado-a-nuevo-caballito-_JM#position=30&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
155.0,105.0,4.0,4.0,11000.0,65000,$,"Ramon Falcon 2600, Flores",-34.6309604,-58.464800399999994,2021-10-18T22:16:56.000Z,https://departamento.mercadolibre.com.ar/MLA-1108690151-departamento-de-4-ambientes-con-balcon-terraza-y-cochera-_JM#position=31&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
45.0,41.0,2.0,1.0,,45000,$,"Arribeños 3652, Núñez",-34.5447023,-58.46090329999999,2021-10-19T17:18:20.000Z,https://departamento.mercadolibre.com.ar/MLA-1108763074-dueno-alquila-dto-en-nunez-dos-ambientes-_JM#position=32&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
33.0,30.0,1.0,1.0,5300.0,40000,$,"Garcia Del Rio 3865, Saavedra",-34.5532872,-58.48308370000001,2021-10-15T23:25:39.000Z,https://departamento.mercadolibre.com.ar/MLA-1108401987-departamento-saavedra-excelente-monoambiente--_JM#position=33&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
35.0,30.0,1.0,,4800.0,28000,$,"Humberto Primero  900 2°, San Telmo",-34.6209106,-58.379661600000006,2021-10-19T16:59:40.000Z,https://departamento.mercadolibre.com.ar/MLA-1108704439-alquiler-monoambiente-san-telmo-_JM#position=34&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
50.0,50.0,3.0,2.0,,25300,$,"Pedro A Garcia 5763, Villa Lugano",-34.6834941,-58.468025600000004,2021-08-24T18:49:02.000Z,https://departamento.mercadolibre.com.ar/MLA-935704543-alquiler-dueno-directo-alquila-3-y-4-ambientes-_JM#position=35&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
30.0,30.0,1.0,,5400.0,24600,$,"Pedernera 100, Flores",-34.6305438,-58.4634707,2021-08-16T21:19:10.000Z,https://departamento.mercadolibre.com.ar/MLA-934535771-monoambiente-a-estrenar-totalmente-equipado-_JM#position=36&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
50.0,50.0,2.0,1.0,,39000,$,"Bartolomé Mitre 3700, Almagro",-34.6097551,-58.41928620000001,2021-08-23T18:01:56.000Z,https://departamento.mercadolibre.com.ar/MLA-935534600-alquiler-departamento-2-amb-almagro-a-mts-riv-apto-prof-_JM#position=37&search_layout=grid&type=item&tracking_id=926f6e9d-1633-4ff4-b555-00052a10c321,depto
