"ubicacion","lat","lon","cant_dorms","cant_banos","antiguedad","expensas","precio","precio_moneda","sup_cub","sup_des","href","sup_total","ambientes","fuente"
"posadas al 1500",-34.58726,-58.38784,2,1,45,15000,75000,"$",92,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--10421531",92,3,"argenprop"
"dr j valentin gomez 3400, piso 4",-34.60495,-58.41408,3,1,45,6000,45000,"$",60,4,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-4-ambientes--6538770",64,4,"argenprop"
"combate de los pozos 200",-34.6114,-58.39315,0,1,,,35000,"$",34,5,"https://www.argenprop.com/departamento-en-alquiler-en-congreso-1-ambiente--10628760",39,1,"argenprop"
"hidalgo 100",,,1,1,40,6700,22500,"$",36,2,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--10455068",38,2,"argenprop"
"julieta lanteri 1200",-34.61274,-58.35913,4,5,7,47600,3500,"USD",233,0,"https://www.argenprop.com/departamento-en-alquiler-en-puerto-madero-5-ambientes--6193417",233,5,"argenprop"
"av. entre rios 1700, piso 6",-34.62851,-58.39091,0,1,10,9175,18000,"$",30.8,3.22,"https://www.argenprop.com/departamento-en-alquiler-en-san-cristobal-1-ambiente--10501276",34.02,1,"argenprop"
"rocha 1600",-34.64243,-58.37283,1,1,35,6000,45000,"$",52,0,"https://www.argenprop.com/departamento-en-alquiler-en-barracas-2-ambientes--10552030",52,2,"argenprop"
"gascón al 700",-34.60184,-58.42384,2,1,45,9550,45000,"$",45,5,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-3-ambientes--10542183",50,3,"argenprop"
"virgilio  400, piso 4",-34.63366,-58.50181,1,1,30,5300,32000,"$",45,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-luro-2-ambientes--10712819",45,2,"argenprop"
"la rioja al 100",-34.61188,-58.40869,1,1,40,5000,16000,"$",28,0,"https://www.argenprop.com/departamento-en-alquiler-en-balvanera-1-ambiente--10713349",28,2,"argenprop"
