"ubicacion","lat","lon","cant_dorms","cant_banos","antiguedad","expensas","precio","precio_moneda","sup_cub","sup_des","href","sup_total","ambientes","fuente"
"tuyu , piso 2",,,1,1,13,,30000,"$",51,7,"https://www.argenprop.com/departamento-en-alquiler-en-villa-luro-2-ambientes--3027592",58,2,"argenprop"
"pje pernambuco 2300",-34.60668,-58.48093,3,1,45,,74000,"$",95,53,"https://www.argenprop.com/ph-en-alquiler-en-villa-del-parque-4-ambientes--10650414",148,4,"argenprop"
"pje pernambuco 2300",-34.60668,-58.48093,3,1,45,,74000,"$",95,53,"https://www.argenprop.com/departamento-en-alquiler-en-villa-general-mitre-4-ambientes--10650390",148,4,"argenprop"
"pje pernambuco 2300",-34.60668,-58.48093,3,1,45,,74000,"$",95,53,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-santa-rita-4-ambientes--10650389",148,4,"argenprop"
"beiro, francisco, avda. 2200",-34.59058,-58.48734,1,1,50,,40000,"$",50,0,"https://www.argenprop.com/ph-en-alquiler-en-agronomia-2-ambientes--10693806",50,2,"argenprop"
"pje pernambuco 2300",-34.60668,-58.48093,3,1,45,,74000,"$",95,53,"https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-4-ambientes--10650386",148,4,"argenprop"
"av. triunvirato 3300, piso 3",-34.58355,-58.46838,0,1,8,5500,28500,"$",33,2,"https://www.argenprop.com/departamento-en-alquiler-en-villa-ortuzar-1-ambiente--10693709",35,1,"argenprop"
"campana 4400, piso 3",-34.59147,-58.5058,1,1,,,34000,"$",35,3,"https://www.argenprop.com/departamento-en-alquiler-en-villa-pueyrredon--10693362",38,2,"argenprop"
"g de helguera 1200, piso 6",-34.61795,-58.47969,0,1,,6500,26000,"$",30,3,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-santa-rita--10693026",33,1,"argenprop"
"fonrouge 900, piso pb",-34.64688,-58.50569,1,1,4,,34000,"$",28,10,"https://www.argenprop.com/ph-en-alquiler-en-liniers-2-ambientes--5487622",38,2,"argenprop"
"josé a. cabrera 6000",-34.58233,-58.44315,1,1,10,12000,45000,"$",36,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--10693435",36,2,"argenprop"
"cachimayo 0",-34.62167,-58.44268,3,2,41,10000,85000,"$",126,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-4-ambientes--10693443",126,4,"argenprop"
"avenida olazábal 5100",-34.57675,-58.48611,1,1,41,4737,40000,"$",33,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-2-ambientes--10693430",33,2,"argenprop"
"jean jaures 800",-34.60121,-58.40785,0,1,40,4500,17000,"$",21,0,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--3414148",21,1,"argenprop"
"av. santa fe al 3900",-34.58295,-58.41948,2,2,50,12300,65000,"$",80,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--10556796",80,3,"argenprop"
"alvarez thomas  al 3000",-34.57254,-58.48191,1,1,35,7000,33000,"$",40,0,"https://www.argenprop.com/departamento-en-alquiler-en-urquiza-r-2-ambientes--10606351",40,2,"argenprop"
"alvarez thomas al 3200",-34.57052,-58.49146,1,1,33,8700,35000,"$",43,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-2-ambientes--10566846",43,2,"argenprop"
"la pampa 2600, piso pb",-34.56598,-58.45601,1,1,,3700,40000,"$",33,5,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--10681810",38,2,"argenprop"
"la pampa 2800, piso 5",-34.56705,-58.45778,1,1,55,7300,37000,"$",40,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--6503830",40,2,"argenprop"
"gral cornelio saavedra 1000, piso 7",-34.62088,-58.40168,1,1,40,5400,32000,"$",38,3,"https://www.argenprop.com/departamento-en-alquiler-en-san-cristobal-2-ambientes--9934163",41,2,"argenprop"
"maipu  n°400",-34.60246,-58.37664,6,2,109,28000,1e+05,"$",217,0,"https://www.argenprop.com/departamento-en-alquiler-en-microcentro-8-ambientes--10406446",217,7,"argenprop"
"paunero 2700",-34.58234,-58.40934,0,1,35,5000,32000,"$",35,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--9632876",35,1,"argenprop"
"guayra al 1700",-34.54942,-58.45831,0,1,7,7500,29500,"$",34,0,"https://www.argenprop.com/departamento-en-alquiler-en-nunez-1-ambiente--10191193",34,1,"argenprop"
"avallaneda al 400",-34.61406,-58.43753,0,1,40,2100,19000,"$",22,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--10678825",22,1,"argenprop"
"sucre al 2000",-34.56192,-58.45153,3,1,35,18000,75000,"$",78,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--10619806",78,4,"argenprop"
"medrano 400, piso 8",-34.60577,-58.42115,3,2,,12000,60000,"$",80,5,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-4-ambientes--10459164",85,4,"argenprop"
"junín 1100",-34.59511,-58.39722,2,1,46,15500,75000,"$",72,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--10409517",72,3,"argenprop"
"libertad 1100, piso 1",-34.5951,-58.38443,2,1,65,12000,55000,"$",75,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--4976165",75,3,"argenprop"
"avenida olazábal 2700",-34.56191,-58.46157,2,1,27,18500,63000,"$",59,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--10692522",59,3,"argenprop"
"república de la india 3100, piso 6",-34.57715,-58.41423,3,2,40,34000,1500,"USD",170,10,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-4-ambientes--5427501",180,4,"argenprop"
"falcon  ramon l cnel 3200",-34.63324,-58.47364,2,1,30,,49000,"$",60,25,"https://www.argenprop.com/ph-en-alquiler-en-floresta-3-ambientes--10677142",85,3,"argenprop"
"gral cornelio saavedra 1100",-34.62211,-58.40129,1,,37,,30000,"$",38,0,"https://www.argenprop.com/departamento-en-alquiler-en-san-cristobal--5333891",38,2,"argenprop"
"av scalabrini ortiz 2100, piso 9",-34.58765,-58.41988,1,1,45,5000,29000,"$",38,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--10460926",38,2,"argenprop"
"olazabal, av. 2200",-34.55901,-58.45615,3,3,,,2200,"USD",115,8,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--10693072",123,4,"argenprop"
"diaz colodrero 2900, piso 8",-34.5697,-58.48889,0,1,,3800,24000,"$",28,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza--6691295",28,1,"argenprop"
"coronel apolinario figueroa 100, piso 1",-34.60246,-58.44277,1,2,7,7300,38000,"$",40,4,"https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-2-ambientes--6615254",44,2,"argenprop"
"virgilio al 1300",-34.62617,-58.51093,1,1,42,4900,32000,"$",47,0,"https://www.argenprop.com/departamento-en-alquiler-en-monte-castro-2-ambientes--10692919",47,2,"argenprop"
"pje j miguel esparza 100, piso 8",-34.6115,-58.41291,2,1,40,8900,49000,"$",74,7,"https://www.argenprop.com/departamento-en-alquiler-en-balvanera-3-ambientes--10643509",81,3,"argenprop"
"pje j miguel esparza 100, piso 8",-34.6115,-58.41291,2,1,40,8900,49000,"$",74,7,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-3-ambientes--10643527",81,3,"argenprop"
"pje talavera 5900, piso 2",-34.57533,-58.49976,2,2,,5000,60000,"$",55,3,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-3-ambientes--8727991",58,3,"argenprop"
"valentín gómez al 3000",-34.60543,-58.40842,1,1,35,10000,29000,"$",40,0,"https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--10692989",40,2,"argenprop"
"av. alvarez thomas al 3500",-34.56908,-58.48614,1,1,20,13000,40000,"$",46,3,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-2-ambientes--10691360",49,2,"argenprop"
"demaria al 4500",-34.57507,-58.42145,3,4,30,120000,4000,"USD",400,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--7987484",400,4,"argenprop"
"victor hugo 2400, piso 1",-34.61933,-58.52467,0,1,20,,20000,"$",20,0,"https://www.argenprop.com/ph-en-alquiler-en-villa-real-1-ambiente--10692838",20,1,"argenprop"
"espinosa",,,0,,50,4200,25000,"$",32,1,"https://www.argenprop.com/departamento-en-alquiler-en-cid-campeador--10306744",33,1,"argenprop"
"avenida de mayo al 900",-34.60899,-58.37912,2,1,65,8000,33000,"$",61,0,"https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--10690856",61,3,"argenprop"
"mercedes al 3200",-34.60558,-58.508,0,1,2,12300,38000,"$",32,3,"https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-1-ambiente--10342134",35,1,"argenprop"
"avda. roque saenz peña 800",-34.60494,-58.37901,3,1,80,17000,45000,"$",82,0,"https://www.argenprop.com/departamento-en-alquiler-en-centro-4-ambientes--10345919",82,4,"argenprop"
"avda. roque saenz peña 800",-34.60494,-58.37901,3,1,80,17000,45000,"$",82,0,"https://www.argenprop.com/departamento-en-alquiler-en-san-nicolas-4-ambientes--10345901",82,4,"argenprop"
"soler 4000",-34.59172,-58.41776,2,1,50,5000,58000,"$",49,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--10257430",49,3,"argenprop"
"chile  al 1200",-34.61309,-58.38136,2,1,45,6500,32000,"$",50,0,"https://www.argenprop.com/departamento-en-alquiler-en-monserrat-3-ambientes--10328744",50,3,"argenprop"
"av callao 200",-34.60617,-58.39201,0,1,,,26000,"$",28,5,"https://www.argenprop.com/departamento-en-alquiler-en-congreso-1-ambiente--10692876",33,1,"argenprop"
"virrey liniers  100, piso 5",-34.61154,-58.4156,2,1,40,8500,46000,"$",60,5,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-3-ambientes--4895149",65,3,"argenprop"
"domingo f sarmiento 1800, piso 3",-34.60583,-58.39314,1,1,,,26000,"$",38,2,"https://www.argenprop.com/departamento-en-alquiler-en-congreso-1-ambiente--10325110",40,2,"argenprop"
"sinclair al 3000",-34.57473,-58.42348,1,1,45,3500,25000,"$",25,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--10382742",25,2,"argenprop"
"av. rivadavia  10500, piso 9",-34.6394,-58.5124,0,,,2500,25000,"$",33,5,"https://www.argenprop.com/departamento-en-alquiler-en-villa-luro--10609790",38,1,"argenprop"
"av. santa fe al 4900",-34.57739,-58.42917,1,1,32,5700,28000,"$",35,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--10551008",35,2,"argenprop"
"av. santa fe al 4900",-34.57739,-58.42917,1,1,30,5700,28000,"$",35,0,"https://www.argenprop.com/departamento-en-alquiler-en-colegiales-2-ambientes--10551023",35,2,"argenprop"
"av alberdi 1600, piso 3",-34.62774,-58.45211,1,1,40,5400,25000,"$",40,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--10330291",40,2,"argenprop"
"av san pedrito 300, piso 5",-34.63499,-58.46754,1,1,40,6200,30000,"$",35,3,"https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--6562095",38,2,"argenprop"
"trelles 2200, piso 1",-34.60243,-58.46741,0,1,,,25000,"$",20,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--8211737",20,1,"argenprop"
"av. directorio  1800, piso p.b",-34.63097,-58.45234,1,1,50,6800,39000,"$",45,10,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--10421542",55,2,"argenprop"
"jose m morelos 100, piso 2",-34.62423,-58.45332,1,1,55,3600,32000,"$",36,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--10338451",36,2,"argenprop"
"ciudad de la paz 3200, piso 1",-34.55322,-58.46661,0,1,7,8000,40000,"$",30,4,"https://www.argenprop.com/departamento-en-alquiler-en-nunez-1-ambiente--6724031",34,1,"argenprop"
"vidal 2500, piso 9",-34.56036,-58.46374,1,1,5,15000,63000,"$",45,4,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--10640382",49,2,"argenprop"
"behring 2500",,,0,1,,3500,30000,"$",33,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-1-ambiente--10421339",33,1,"argenprop"
"humahuaca al 3400",-34.60413,-58.41019,0,1,4,5500,30000,"$",30,5,"https://www.argenprop.com/departamento-en-alquiler-en-almagro-1-ambiente--10692796",35,1,"argenprop"
"venezuela 900, piso 10",-34.61422,-58.37984,0,1,,3890,38000,"$",35,4,"https://www.argenprop.com/departamento-en-alquiler-en-monserrat-1-ambiente--10690561",39,1,"argenprop"
"arengreen al 600",-34.61064,-58.4425,0,1,6,6800,34000,"$",38,4,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--10692769",42,1,"argenprop"
"tacuari 100",-34.60962,-58.37904,1,1,15,9000,28000,"$",40,5,"https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-2-ambientes--10395051",45,2,"argenprop"
"av. san martin 7200, piso 1",,,,,,6000,28000,"$",37,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto--10395989",37,,"argenprop"
"av cordoba 1800, piso 9",-34.59979,-58.39315,2,2,40,20500,60000,"$",100,15,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-3-ambientes--9012189",115,3,"argenprop"
"galván 2900",-34.56817,-58.48662,0,1,8,,30000,"$",40,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-1-ambiente--10330875",40,1,"argenprop"
"av. de los incas 4000, piso 6",,,2,1,40,7800,42000,"$",50,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-3-ambientes--6608060",50,3,"argenprop"
"valle 800, piso 6",-34.62478,-58.44008,1,1,35,8690,42000,"$",41,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--10490809",41,2,"argenprop"
"castro al 1000",-34.62576,-58.42047,1,1,45,6500,45000,"$",50,41,"https://www.argenprop.com/departamento-en-alquiler-en-boedo-2-ambientes--10492949",91,2,"argenprop"
"combate de los pozos 1000",-34.62025,-58.39305,1,1,,5000,34000,"$",42,2,"https://www.argenprop.com/departamento-en-alquiler-en-san-cristobal-2-ambientes--10692706",44,2,"argenprop"
"gascon al 500",-34.60568,-58.42462,2,2,9,,90000,"$",82,18,"https://www.argenprop.com/ph-en-alquiler-en-almagro-3-ambientes--10646873",100,3,"argenprop"
"tres arroyos 800",-34.60479,-58.45236,1,1,,3900,30000,"$",40,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-2-ambientes--10692600",40,2,"argenprop"
"azara 0",-34.63234,-58.37276,1,1,45,6794,40000,"$",46,0,"https://www.argenprop.com/departamento-en-alquiler-en-barracas-2-ambientes--10343447",46,2,"argenprop"
"av f de olazabal 3000, piso 2",-34.56416,-58.46471,1,1,40,7500,36000,"$",38,5,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--10156068",43,2,"argenprop"
"john fitzgerald kennedy 2800",-34.57445,-58.41847,1,1,61,,450,"USD",42,3,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--10692668",45,2,"argenprop"
"ramirez de velazco  1000, piso 8",-34.5941,-58.44079,0,1,5,6000,33000,"$",35,2,"https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-1-ambiente--10240522",37,1,"argenprop"
"cnel. arevalo 1300, piso 5",-34.58407,-58.44386,1,1,,,50000,"$",42,4,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--10420020",46,2,"argenprop"
"25 de mayo 600",-34.59992,-58.37149,0,,6,,1050000,"$",2500,0,"https://www.argenprop.com/casa-en-alquiler-en-san-nicolas--10692647",2500,1,"argenprop"
"constitución 1200",-34.62453,-58.38388,1,1,1971,5473,25000,"$",30,0,"https://www.argenprop.com/departamento-en-alquiler-en-constitucion-2-ambientes--10491906",30,2,"argenprop"
"armenia al 2300",-34.58506,-58.42013,0,1,45,4400,30000,"$",35,0,"https://www.argenprop.com/departamento-en-alquiler-en-botanico-1-ambiente--10649866",35,1,"argenprop"
"av cramer al 1700",-34.56897,-58.45786,2,2,15,17000,150000,"$",70,5,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--10675637",75,3,"argenprop"
"hortiguera 500, piso 6",-34.62853,-58.44479,1,1,50,6500,50000,"$",45,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--10677194",45,2,"argenprop"
"cramer 4400, piso 2",-34.54375,-58.47693,0,1,,5300,43000,"$",32,8,"https://www.argenprop.com/departamento-en-alquiler-en-saavedra-1-ambiente--10543047",40,1,"argenprop"
"arribeños 1300",-34.56578,-58.44392,4,3,22,75000,2900,"USD",280,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-7-ambientes--8513423",280,5,"argenprop"
"av. melian al 1800",-34.57039,-58.46538,3,5,85,,4500,"USD",370,135,"https://www.argenprop.com/casa-en-alquiler-en-belgrano-r-6-ambientes--10420910",505,4,"argenprop"
"av alvarez thomas 800, piso 1",-34.57928,-58.45447,2,2,8,13000,85000,"$",92,22,"https://www.argenprop.com/departamento-en-alquiler-en-colegiales-3-ambientes--8346629",114,3,"argenprop"
"av alvarez thomas 800, piso 1",-34.57928,-58.45447,2,2,8,13000,85000,"$",92,22,"https://www.argenprop.com/departamento-en-alquiler-en-colegiales-3-ambientes--8346629",114,3,"argenprop"
"pje loberia 100",-34.63721,-58.49102,1,1,,,52800,"$",70,5,"https://www.argenprop.com/ph-en-alquiler-en-floresta-2-ambientes--10692606",75,2,"argenprop"
"paraguay 3000, piso 2",-34.59538,-58.40986,1,1,10,8000,38000,"$",36,0,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-2-ambientes--9786748",36,2,"argenprop"
"paraguay 700",-34.59769,-58.37713,0,1,2,,38000,"$",29,0,"https://www.argenprop.com/departamento-en-alquiler-en-microcentro-1-ambiente--10692586",29,1,"argenprop"
"av. monroe 5600, piso pb",-34.57786,-58.49226,1,1,55,,38000,"$",40,7,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-2-ambientes--10607494",47,2,"argenprop"
"av. quintana 400, piso 2",-34.58882,-58.38953,1,1,40,12000,39000,"$",55,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--10160193",55,2,"argenprop"
"rafaela 4300",-34.63821,-58.48835,0,1,3,3200,28000,"$",37,0,"https://www.argenprop.com/departamento-en-alquiler-en-velez-sarsfield-1-ambiente--10384029",37,1,"argenprop"
"honduras  4500, piso 2do",-34.59231,-58.4251,1,1,46,,45000,"$",52,5,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--10692544",57,2,"argenprop"
"av estado de israel 4300, piso 8",-34.59819,-58.42715,0,1,52,4500,,"",25,5,"https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-1-ambiente--5987392",30,1,"argenprop"
"juan agustin garcia 5000, piso 1",-34.62399,-58.5033,0,1,3,,26000,"$",25,0,"https://www.argenprop.com/departamento-en-alquiler-en-monte-castro-1-ambiente--3595845",25,1,"argenprop"
"scalabrini al 1273",-34.59334,-58.4283,1,1,,12500,75000,"$",52,4,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-2-ambientes--10268690",56,2,"argenprop"
"scalabrini al 1273",-34.59334,-58.4283,1,1,,12500,75000,"$",52,4,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-2-ambientes--10268688",56,2,"argenprop"
"scalabrini al 1273",-34.59334,-58.4283,1,1,,12500,75000,"$",52,4,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-soho-2-ambientes--9810018",56,2,"argenprop"
"scalabrini al 1273",-34.59334,-58.4283,1,1,,12500,75000,"$",52,4,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-soho-2-ambientes--9810017",56,2,"argenprop"
"echeverria al 5200",-34.58007,-58.48313,0,1,3,3500,31000,"$",32,3,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-1-ambiente--10630067",35,1,"argenprop"
"av. monroe al 2200",-34.56053,-58.44836,3,2,1,31590,1500,"USD",126,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-barrancas-4-ambientes--9726919",126,4,"argenprop"
"cabrera  3000, piso 1",-34.597,-58.40998,1,1,35,6850,33000,"$",38,2,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--10264812",40,2,"argenprop"
"av. cordoba 5100, piso 4",-34.59069,-58.43559,1,1,5,7200,55000,"$",45,8,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-soho--3756553",53,2,"argenprop"
"arenales 2000",-34.59446,-58.39623,2,1,81,,55000,"$",67,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--10692391",67,3,"argenprop"
"pedernera  100, piso 1",-34.62984,-58.46398,0,1,45,4100,19000,"$",20,0,"https://www.argenprop.com/departamento-en-alquiler-en-flores-1-ambiente--10692359",20,1,"argenprop"
"bahia blanca 400, piso 5",-34.62883,-58.48232,3,3,20,15000,95000,"$",110,9,"https://www.argenprop.com/departamento-en-alquiler-en-floresta-4-ambientes--3000278",119,4,"argenprop"
"av san martin 1500, piso 6",-34.60633,-58.45141,0,1,30,6500,30000,"$",37,2,"https://www.argenprop.com/departamento-en-alquiler-en-caballito--7797539",39,1,"argenprop"
"juan f. seguí 3700",,,2,2,,16854,90000,"$",87,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-3-ambientes--10073603",87,3,"argenprop"
"freire, ramon 2200",-34.56492,-58.46591,2,2,2,13000,1e+05,"$",58,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-3-ambientes--10688549",58,3,"argenprop"
"pichincha 400, piso 3",-34.61449,-58.39915,1,1,,6000,30000,"$",43,3,"https://www.argenprop.com/departamento-en-alquiler-en-balvanera-2-ambientes--10076072",46,2,"argenprop"
"sanchez de bustamante 2100, piso pb",-34.58734,-58.40588,1,1,50,3696,40000,"$",29,6,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-2-ambientes--10692126",35,2,"argenprop"
"jose cubas al 3600",-34.59476,-58.51006,2,1,50,4400,45000,"$",63,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-3-ambientes--10692121",63,3,"argenprop"
"arcos 1400",-34.56654,-58.44825,1,1,,15000,900,"USD",70,7,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--10692154",77,2,"argenprop"
"las heras  2000, piso 2",-34.5898,-58.39449,1,1,,8500,39000,"$",50,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--9080139",50,2,"argenprop"
"pico  2800, piso 2",-34.54203,-58.47809,1,,,,44500,"$",50,0,"https://www.argenprop.com/departamento-en-alquiler-en-saavedra-2-ambientes--9888589",50,2,"argenprop"
"avenida del libertador al 5500",-34.56081,-58.44441,1,1,20,5100,44000,"$",37,3,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--10691828",40,2,"argenprop"
"jose hernandez  2400",-34.5656,-58.45312,2,2,60,11000,80000,"$",70,0,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--10326903",70,3,"argenprop"
"alvarez jonte al 3000",-34.60939,-58.486,3,2,50,,1e+05,"$",143,58,"https://www.argenprop.com/ph-en-alquiler-en-villa-del-parque-4-ambientes--10631247",201,4,"argenprop"
"blanco encalada al 4700",-34.57052,-58.49146,0,1,12,4500,30000,"$",33,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-1-ambiente--10235347",33,1,"argenprop"
"juncal al 1400",-34.59275,-58.38785,2,2,50,18000,190000,"$",122,13,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--10550673",135,3,"argenprop"
"av. acoyte al 400",-34.61328,-58.43805,1,1,40,3600,22500,"$",35,0,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--10691827",35,2,"argenprop"
"san mateo al 3700",-34.58709,-58.41473,0,1,50,3200,23000,"$",30,0,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--10691806",30,1,"argenprop"
"g espinosa 2200",-34.60168,-58.46363,0,1,,,15000,"$",15,0,"https://www.argenprop.com/departamento-en-alquiler-en-paternal-1-ambiente--9068877",15,1,"argenprop"
"g espinosa 2200",-34.60168,-58.46363,0,1,,,15000,"$",15,0,"https://www.argenprop.com/ph-en-alquiler-en-paternal-1-ambiente--9068875",15,1,"argenprop"
"av cordoba 1800, piso 5",-34.59971,-58.39352,1,1,45,7326,23000,"$",34,0,"https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-2-ambientes--5464326",34,2,"argenprop"
"costa rica 4100, piso 2",-34.59166,-58.42145,0,1,8,11000,35000,"$",33,7,"https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--10691637",40,1,"argenprop"
"vuelta de obligado 1900",-34.56208,-58.45668,3,2,31,19500,70000,"$",84,4,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--10357183",88,4,"argenprop"
"vicente lopez 2200",-34.58743,-58.39583,1,1,51,7000,36000,"$",38,2,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--10680578",40,2,"argenprop"
"yerbal al 2500",-34.62835,-58.46559,1,1,55,3700,22000,"$",34,0,"https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--10691523",34,2,"argenprop"
"av gral diaz velez 5200, piso 9",,,3,2,,12600,145000,"$",115,0,"https://www.argenprop.com/departamento-en-alquiler-en-parque-centenario-4-ambientes--10676852",115,4,"argenprop"
"av.a coyte 400, piso 2",-34.61421,-58.43794,3,1,54,20000,69000,"$",92,10,"https://www.argenprop.com/departamento-en-alquiler-en-caballito-4-ambientes--10691443",102,4,"argenprop"
"arevalo 2200",-34.57666,-58.43579,3,1,50,,95000,"$",100,60,"https://www.argenprop.com/ph-en-alquiler-en-palermo-hollywood-4-ambientes--10691408",160,4,"argenprop"
"posadas al 1500",-34.58735,-58.38747,1,1,50,7200,30000,"$",35,0,"https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--10220508",35,2,"argenprop"
"av.corrientes al 5900",-34.59357,-58.44511,1,1,40,5000,35000,"$",40,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-2-ambientes--10369772",40,2,"argenprop"
"congreso 1900, piso 5",-34.55296,-58.45795,1,1,5,,65000,"$",40,5,"https://www.argenprop.com/departamento-en-alquiler-en-nunez-2-ambientes--10600025",45,2,"argenprop"
"cullen  5200, piso 1",-34.57347,-58.48921,0,1,9,5100,28000,"$",47,0,"https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-1-ambiente--9209680",47,1,"argenprop"
"monroe 2100",-34.55699,-58.45788,0,1,4,6000,30000,"$",32,3,"https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--10691225",35,1,"argenprop"
"culpina 100, piso 8",-34.63199,-58.4661,2,1,40,5700,40000,"$",55,0,"https://www.argenprop.com/departamento-en-alquiler-en-flores-3-ambientes--6557499",55,3,"argenprop"
"alem leandro n. av. 600",-34.6002,-58.3704,2,1,100,8655,42000,"$",81,0,"https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--10529661",81,3,"argenprop"
