"","ubicacion","lat","lon","precio_moneda","precio","ambientes","habitaciones","sup_des","sup_cub","fecha","expensas","href","tipo","fuente","sup_total"
"2038","mario bravo 900 Duplicado",,,"ARS",39000,1,1,43,,2021-09-09,,"https://www.properati.com.ar/detalle/3z179_alquiler_departamento_almagro_balcon_lavadero_piscina_sum_luminoso_garage_cochera_ascensor_vigilancia_romani-nestor","depto","properati",43
"2039","Malabia al 2200",,,"ARS",40000,1,1,38,35,2021-09-09,7400,"https://www.properati.com.ar/detalle/3z191_alquiler_departamento_palermo-soho_balcon_lavadero_parrilla_piscina_sum_amenities_cocina_encargado_calefaccion_alejandro-paitas-propiedades_hlvv","depto","properati",38
"2040","Yerbal 727",-34.6187987,-58.4411246,"ARS",30000,2,1,32,,2021-09-09,,"https://www.properati.com.ar/detalle/3z1ct_alquiler_departamento_caballito_balcon_placard_subte-linea-a_ciclovias-y-bicisendas-de-buenos-aires_cocina_comedor_agua-corriente_ruiz-hijos-estudio-inmobiliario","depto","properati",32
"2041","Lavalle 1500, Balvanera, Capital Federal, Argentina. ",20.540511,-100.469651,"ARS",25000,1,,56,,2021-09-09,,"https://www.properati.com.ar/detalle/3z1du_alquiler_departamento_balvanera_balcon_cocina_encargado_bytargentina-inmobiliaria","depto","properati",56
"2042","BUCARELLI 2200. Entre Olazabal, av. y Blanco encalada",-34.5768301,-58.4872913,"ARS",35000,2,1,,,2021-09-09,6000,"https://www.properati.com.ar/detalle/3w0wr_alquiler_departamento_villa-urquiza_balcon_subte-linea-b_ciclovias-y-bicisendas-de-buenos-aires_varni-propiedades_j0m","depto","properati",
"2043","B.SUR MER 500",-34.6045305,-58.4068081,"ARS",18000,1,,25,,2021-09-09,,"https://www.properati.com.ar/detalle/3uenc_alquiler_departamento_centro-microcentro_luminoso_placard_subte-linea-b_subte-linea-a_subte-linea-h_ciclovias-y-bicisendas-de-buenos-aires_cocina_enter-propiedades_hk1m","depto","properati",25
"2044","LEOPOLDO MARECHAL 1300. Entre Antezana y Ghandi, mahatma",-34.6032145,-58.4410424,"ARS",25000,2,1,,,2021-09-09,6500,"https://www.properati.com.ar/detalle/3wond_alquiler_departamento_villa-crespo_luminoso_subte-linea-b_ciclovias-y-bicisendas-de-buenos-aires_cocina_aris-propiedades","depto","properati",
"2045","GUARDIA NACIONAL 100. Entre Ramon l. falcon  y Acassuso",-34.6393312,-58.5041047,"ARS",40000,2,1,,,2021-09-09,2300,"https://www.properati.com.ar/detalle/3x05u_alquiler_departamento_villa-luro_lavadero_vista_aire-acondicionado_cocina_hall_living_comedor_living-comedor_niro-brokers","depto","properati",
"2046","TUCUMAN 1600. Entre Montevideo y Rodriguez peÑa",-34.6016659,-58.3897805,"ARS",50000,4,3,,,2021-09-09,12400,"https://www.properati.com.ar/detalle/3yufa_alquiler_departamento_tribunales_balcon_lavadero_patio_toilette_vestidor_placard_doble-circulacion_subte-linea-d_subte-linea-b_ciclovias-y-bicisendas-de-buenos-aires_cocina_hall_living_comedor_merchan-gluck-negocios-inmobiliarios-srl","depto","properati",
"2047","Montevideo 1000",-34.596114,-58.389787,"ARS",90000,4,3,,,2021-09-09,,"https://www.properati.com.ar/detalle/3xr8e_alquiler_departamento_barrio-norte_balcon_lavadero_toilette_luminoso_dependencias_impecable_subte-linea-d_ciclovias-y-bicisendas-de-buenos-aires_cocina_tizado-recoleta","depto","properati",
